EXP_GROUP,DRIVER_ID
A,22856439
B,22015139
A,21338635
B,14527854
B,31431607
A,31785843
B,31898867
B,31883215
A,31898623
A,17859627
A,29134787
B,31916575
A,19551663
A,24306723
A,18087627
A,23331591
B,14454126
B,15476531
A,26249975
A,30147739
A,31715619
A,31967643
A,31813559
B,23097915
A,24201883
A,31970883
A,31785871
A,28658455
A,31991963
B,14233994
A,31859543
A,25084027
A,23099523
B,17359783
A,15854843
A,21635491
A,29908399
A,30274783
A,24091531
A,29329771
B,31070947
A,17252991
B,20149655
A,20270727
B,31739695
B,23327895
B,32034123
A,31722659
A,31238327
A,23171807
A,21808811
A,14823662
A,14077710
B,14090394
A,14131134
A,20955795
B,16417343
A,31076243
B,31009631
A,31357131
B,31914087
A,32037943
A,32058435
A,20768699
A,18594803
B,29841871
B,14735870
A,32081119
B,29861743
B,15152330
A,15202538
A,14046654
A,19318687
A,32078283
A,32037707
A,21328759
A,24532523
B,14078674
B,30804131
A,32056031
A,32072051
A,32081467
A,28049811
A,29792459
A,22838351
A,23961147
A,32117315
B,32119215
B,26717183
B,29854899
B,21380603
B,23133763
A,31855667
B,15200242
A,15259598
B,18088347
B,32078607
A,32029735
B,32032327
A,32074303
A,31765327
A,31976927
A,24324907
A,17017343
A,17903203
A,22922887
A,30167563
A,14085338
B,14184258
A,14234502
A,14373394
A,30192923
B,30900571
A,32167311
A,32054987
A,32073791
B,31786403
A,31830599
B,31882039
A,31954667
A,19508911
A,22805795
A,23136223
B,23137883
A,16345915
A,14139214
A,14151626
A,14173666
A,19606663
A,14118990
A,32185827
B,32192115
A,15693511
B,14295706
A,17258099
A,24653627
A,29811803
A,32070579
A,25660431
B,31873343
A,14628302
A,14411110
B,25042027
B,17375299
A,30520703
B,32099979
A,30353159
A,29747195
A,31291511
A,32071543
A,32198691
B,30410411
A,17033203
B,19844155
B,22621695
A,30709219
A,17807647
B,14292038
B,14961538
A,27720723
A,23251547
A,23980703
A,14226258
A,21435927
A,24045467
A,30819299
A,31157619
A,32117211
A,32141367
B,32218219
B,31883327
B,29278975
A,14214542
A,17011967
A,15252726
A,31898895
B,23102811
A,31417563
A,24558315
B,31920671
A,32023659
A,26208723
A,14019394
A,17859655
A,19037531
B,23036443
A,32216591
B,14057834
A,31974735
B,24441359
B,31949455
A,17019243
A,19478627
A,18708919
A,14846486
A,17122607
A,14194242
A,14215906
A,14455114
B,23162123
B,22017711
A,31760723
A,31477887
A,32241603
A,32250883
A,29358447
A,29882291
A,31009607
A,25619555
A,14227946
A,14022366
A,17368263
B,21297383
A,31317783
A,32135531
B,31895499
B,14184286
A,14296238
B,14411298
A,15003434
A,31790147
A,17076623
A,30274035
A,30275771
A,30386523
A,21883047
A,23160171
B,32182403
A,29885203
B,15216930
A,31643899
A,31672419
A,31998651
B,18004403
A,14499894
B,29200619
B,30980259
A,31118111
A,31153555
A,32102707
A,24332667
A,31950923
B,28814227
B,32155223
A,14005646
A,19646491
A,18183903
A,28923527
B,22319567
A,30980179
A,23414815
B,32078715
A,32100327
A,24155951
A,26267363
B,31363659
A,32029355
B,31966147
B,14201490
A,18714379
A,15161102
A,15041766
B,14143090
B,14225058
A,31950283
A,14312214
A,14624610
B,31974679
A,31803047
A,22993911
A,26941727
B,27917371
A,20783491
A,19166015
B,23701559
A,31906167
B,15244674
B,15347638
A,17271343
A,18222263
A,17570715
A,31296651
A,14521758
A,31753535
A,31858427
A,31879799
A,14183810
A,15564391
A,31335899
A,31897267
A,23834755
B,31699255
A,14524994
B,25549103
A,30265131
A,31939051
A,14430110
A,19820539
B,24664655
B,23303507
B,28206231
A,31263319
A,31371127
B,31891171
A,31948147
B,25052255
A,14670254
A,16544975
A,21756975
A,31936727
A,31939319
A,31953683
B,29077919
A,22418343
A,31898527
A,31884295
A,31984639
A,17281727
A,21512279
A,25057523
A,15632415
A,29867103
B,14145930
B,14206682
A,31860939
A,17249439
B,14057978
A,14149114
A,21312875
A,29154531
A,30661127
B,31984555
A,31922603
B,14256654
A,32028563
A,18644163
A,22273135
A,16302959
A,16425751
A,14577346
A,31707899
B,31628311
A,32013343
A,32029819
A,32006331
A,26624599
A,32022835
A,22888279
A,29194715
A,14107946
A,31522355
A,31993839
B,32050631
A,23132299
A,18651575
B,17585731
B,30951107
A,17679355
A,14943758
B,14324310
A,24858599
A,25309199
A,31703615
B,31859579
A,23742063
A,32049779
B,32055527
B,32072995
A,21188167
B,32021203
A,30364567
A,32049803
A,31870971
B,32114191
A,31894911
B,30079127
A,28879583
A,19286963
B,21488043
A,16703907
B,21572683
A,14583582
A,31855299
A,28920383
A,31975891
A,31952991
A,20363267
A,14188226
A,15213650
A,23974319
A,25607067
A,32155763
A,32158735
B,31979879
B,31954519
A,31965855
B,32117587
A,32126983
A,13999366
A,14294586
A,14300206
A,17783071
A,24676531
A,30629751
B,19542063
B,29409043
A,31936807
A,31975167
A,31978671
B,31990655
A,29011735
A,32145839
A,32062055
A,14204838
A,14653534
A,22480887
A,17811347
A,17229539
A,23146267
B,22017099
A,22712519
A,14205374
B,16019103
A,32067431
B,32023559
A,15528519
A,14128386
A,21176179
A,17404119
B,14045830
A,14415986
A,15130910
A,21537347
A,23294035
A,27364379
B,32166143
A,29521635
B,32206219
A,31996303
B,32217131
A,17471183
B,14524222
A,14548538
A,31959651
A,32170131
A,31513307
A,32185187
A,18772651
A,14098826
A,18202607
B,23722163
A,29871811
A,30317187
B,24652403
A,32198323
B,15151906
A,31704847
B,27334467
A,23359467
B,32170479
B,32240911
A,30994395
A,31923459
A,32068291
A,31115199
A,31384051
A,17221703
A,31643023
A,32026639
A,25840659
A,29426775
B,17809583
B,22817495
B,16977275
A,23108115
A,32246103
B,32056435
A,31969147
A,18261327
B,31943975
A,25273003
A,32154507
A,14288678
A,32113815
B,29955111
A,13979218
A,14228142
B,14998570
B,23342751
A,29873787
A,32190139
A,16780923
B,23012483
A,18619575
A,30110187
B,31767255
A,32118663
A,14094038
A,14170546
A,17995531
B,23120559
A,17252759
A,30863363
A,32154295
B,32226279
A,30217219
A,23334243
A,28450523
B,31366287
A,31595515
A,26695895
A,23480039
A,15177030
A,20364819
A,23165367
A,23224535
A,31974043
A,25907299
A,26206827
A,14123166
A,14298094
A,14453862
A,14589090
A,14043958
A,27955655
B,32197763
A,32224915
B,31918187
B,32037815
B,18579343
A,14117470
B,14118570
A,29911215
A,32186263
A,31361499
B,21712407
B,20556971
A,30705347
A,18076207
A,22839535
A,15191446
A,17082863
A,29415035
A,22166587
A,14830094
A,14957426
A,15122990
B,20815043
A,30390751
A,14128178
A,15850231
A,31830931
A,30212519
B,24173967
B,26731507
A,31833659
B,31886363
A,31890643
B,31891927
B,31893263
A,30097491
A,14149498
A,27176111
A,22555283
A,29408863
B,31892379
A,17290671
B,14074250
B,31888367
A,31899547
B,31790243
A,31741635
A,31590039
B,23841399
B,31396467
A,16832479
A,15357258
A,31780907
A,26367875
A,31054455
B,14320702
A,14828758
A,31860463
A,31979587
A,16835691
A,14451222
A,14933094
B,22981883
A,31998583
A,23134743
A,31298935
A,31914611
B,23103627
B,31087171
A,16838179
B,32026775
A,32021671
A,14709210
A,19382047
A,17812743
B,17930583
A,15338906
B,32039431
A,31882003
A,21792211
A,32033919
A,31981571
A,31752471
B,31949975
A,32027579
B,32028675
B,32034563
A,31505827
A,14037354
A,14060070
B,14576122
A,18840443
A,25792379
A,29218983
A,30559427
A,31264343
B,14420754
A,18116427
A,14141046
A,14143774
A,14161186
B,14197090
A,30395307
B,17906831
B,32024663
B,31966451
A,30847027
A,30862327
A,31549647
B,23092955
A,23190971
B,24867783
A,14384798
A,15364342
B,30466839
B,30474355
A,32127363
A,31941867
A,21400279
B,14064778
B,14231114
B,14311366
A,21869923
A,31259687
A,31955375
A,31975359
A,32080175
A,31702155
A,31723447
A,30717099
A,23841423
A,14191366
A,15707807
A,14825898
A,15000314
A,17075567
B,23181103
A,23286235
B,31917127
A,32114171
A,32155879
A,17440691
B,20560563
A,30264495
B,31713575
A,15243002
A,14025346
B,14129486
A,14266478
A,14394646
A,20423251
A,28357543
B,32168207
B,32174119
A,32028727
A,14017426
A,24332415
A,29533039
A,31970279
A,31183847
A,25591371
A,30221803
A,30168139
A,14737942
B,18633551
A,23612943
A,16689843
A,23151779
A,23328231
A,13994558
A,14101322
A,19278703
B,19701695
A,31588243
B,32184019
A,32081887
A,31912387
A,18734107
A,22707631
A,20772727
B,30343171
B,32202315
A,14036634
A,31763683
A,31815847
A,24636387
A,14106430
B,14140346
B,27482839
A,15105930
A,32175623
B,32127979
A,15895551
A,14129114
A,14171486
B,22023047
B,22242699
A,31309791
A,23318283
A,26265983
A,18341911
B,14280126
A,16418343
A,29075195
B,31088671
B,17770187
A,14932878
B,31479691
A,31993871
A,17084391
B,30140507
A,32195227
A,14248370
A,24196571
A,25754983
B,26957015
B,14022058
A,14416954
A,19436939
B,22259095
A,21364783
A,32233963
A,30451675
B,21121959
A,23145923
A,31048303
A,18025311
A,18218027
A,14047898
B,14836438
A,14108006
B,17585895
B,17201459
A,24686999
A,32038843
A,14067990
A,14080134
A,14117238
A,14252998
A,14344110
A,15040654
A,30121375
A,30605223
A,31974907
A,31998955
A,32037047
A,23039827
A,18769095
A,21870139
B,32217003
B,18882735
B,13987362
A,29249159
A,32243939
B,32226555
B,22734171
A,29937543
A,26428199
A,14161858
A,32204299
A,16333835
A,16531099
A,16813455
A,18120543
B,23642983
A,24852939
A,32036031
A,25327927
B,26951691
B,22227851
A,32206359
A,32242147
A,19862627
B,31318355
A,31953775
A,31990503
B,30213163
A,23191883
A,29208279
A,24091279
A,17388791
A,18087615
A,16338679
B,14601594
A,23139851
B,22262335
A,31965571
A,29832383
A,32182415
A,32059175
B,31474931
A,14128230
A,14212734
A,14268914
B,15907427
A,16882475
A,22771675
B,28415943
B,14182994
B,14250382
B,28994439
A,30217287
A,31222219
A,22262583
A,31741911
A,14085622
B,14893214
A,23229927
A,31619899
A,30328303
A,24351335
A,22951687
B,14006410
A,14116170
B,31888427
A,31913975
A,31934999
B,31830139
A,14871438
A,15500175
B,30311475
A,30338655
A,31323311
A,19599403
A,31621587
A,31934975
A,31560643
A,31009255
A,31043867
A,14073878
A,22859051
B,17400895
A,31974403
B,19906319
A,31957843
A,31960871
A,27772207
B,22822111
A,27834435
B,18156879
B,31974111
A,31969427
A,14792442
A,18743047
A,23773271
B,26277195
A,31433951
A,15605491
B,17012439
A,30571067
A,23130199
B,23515311
A,24788311
A,16526183
B,14044398
A,14180534
A,25659755
B,31982031
B,31142631
B,31180751
A,31191747
B,32060627
A,31151275
B,14527418
A,14079578
A,18504991
B,17459635
A,31860955
B,31895279
B,23270003
A,30614219
A,21171723
A,31990459
A,32007707
B,23804539
A,32073599
A,31972107
B,31935511
A,30222131
B,24127587
A,29571491
B,24870731
A,25278659
B,25298079
A,31783347
B,14266570
A,16029335
B,31998695
A,14262794
A,31863655
A,27802759
A,25427611
B,32022611
B,30164883
B,31897147
A,17075571
B,25592823
A,32032535
A,31922427
A,32137183
B,32146791
B,31980399
A,23060967
B,31811895
B,14434778
A,29952635
B,31970791
A,31778775
A,25107559
A,32058375
B,32072715
A,23911707
A,22247523
B,15522427
A,18951359
B,31109091
B,30663411
A,30824159
B,32173703
B,14183238
B,14213974
A,20015623
B,31676343
B,21731655
A,17702327
B,25325527
A,25401367
A,14407706
B,29803395
A,14127166
A,32033447
A,28145547
A,31152291
A,14248082
B,14255650
A,23089295
A,18800403
B,22672463
A,32100299
A,30374423
A,31117619
A,20017551
A,24376531
A,32213375
A,25422043
A,14130910
A,14330314
A,14966270
A,15332062
A,24131707
A,22260519
A,17408303
A,16024175
B,16767803
A,11562166
A,14648010
A,14020590
A,14152982
B,14200382
B,18474839
A,22171251
A,30620987
A,23271607
B,17940995
A,14150790
A,14294042
B,14332614
B,17033867
A,24495871
B,32175599
B,32055651
A,24130475
A,23017871
A,22694583
A,21352135
A,14074358
A,14159270
A,21478963
A,23749863
B,28868311
A,17370399
A,19643543
A,23083575
A,32216023
B,32224343
A,22593655
A,31366247
B,30251259
A,30333571
B,22233983
A,14248670
A,21069215
B,21252115
A,21646447
A,31672115
B,32203635
B,17075651
A,32029135
A,15169226
A,29934499
A,32115679
B,15007386
A,14142898
A,31674363
A,17850527
B,29953495
A,21881755
B,13953202
A,15204754
B,20862539
A,25354955
A,32228191
B,23146387
B,31152531
A,15826535
A,16904603
A,14754374
A,25408219
A,32076407
B,32114447
A,32142163
A,13982094
A,14017462
A,17234395
A,32201495
B,32206631
A,32219983
A,32222843
A,32225251
A,27410907
A,30280015
B,18567479
B,32186435
A,31905975
A,31919191
B,26048211
A,29571407
B,32196759
A,31851539
B,27678903
A,31767515
A,22317795
B,32210139
A,14930718
A,14201214
A,29590935
A,14101538
B,32117499
A,14180962
B,14253162
A,14764246
A,15269330
A,15304110
B,32205751
B,32241355
B,23125387
A,23392439
B,32032319
B,32074671
A,29946643
A,31576083
B,31505643
B,23333907
A,23711875
B,15634971
A,24719779
A,14929618
B,22266087
A,24436323
A,14456446
A,15229498
B,15685423
B,19151751
B,24205887
A,23725463
A,17791591
A,30363483
A,31267023
B,32005167
A,32113619
A,21815251
B,22652615
A,24473851
B,25123399
A,29684995
